Order Date,Order Priority,Ship Type,City,State,Country,Region,Segment,Super Category,Category,Price,Operational/ Production Cost,Selling Price,Discount,Shipping Cost,Sales (shipping price included),Profit,Quantity
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,145.0980392,,97.54901961,47.54901961,-1,96.54901961,3,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,102.745098,,68.52941176,34.21568627,2,70.52941176,1,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,166.0784314,,117.1568627,48.92156863,0,117.1568627,1,1
02-01-2015,Moderate,Named Day,Chongqing,Chongqing,China,North Asia,Retail,Footwear , Women's Footwear ,146.8627451,92.94117647,97.94117647,48.92156863,2,99.94117647,5,1
02-01-2015,Moderate,Named Day,Chongqing,Chongqing,China,North Asia,Corporate,Office Supplies,Appliances,2469.9735,1492.7795,2469.9735,0,239.3915,2709.365,977.194,4
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Office Supplies,Binders,186.8165,133.5405,186.8165,0,44.0929,230.9094,53.276,4
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Technology,Copiers,2038.3678,1523.8338,2031.3578,7.01,401.673,2426.0208,507.524,1
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Office Supplies,Labels,184.6434,122.2544,177.6334,7.01,26.4978,197.1212,55.379,2
02-01-2015,Moderate,Named Day,Yingcheng,Hubei,China,North Asia,Corporate,Office Supplies,Storage,1189.7372,703.8741,1189.7372,0,303.9536,1493.6908,485.8631,2
02-01-2015,Moderate,Named Day,Dhaka,Dhaka,Bangladesh,Central Asia,Retail,Office Supplies,Supplies,313.2068,237.5689,313.2068,0,85.0313,398.2381,75.6379,2
06-01-2015,Low,Standard Delivery,Jaipur,Rajasthan,India,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,669.2156863,480.3333333,483.3333333,185.8823529,-1,482.3333333,3,1
06-01-2015,Low,Standard Delivery,Jaipur,Rajasthan,India,Central Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",235.7843137,166.9411765,182.9411765,52.84313725,0,182.9411765,16,1
06-01-2015,Low,Standard Delivery,Jaipur,Rajasthan,India,Central Asia,Retail,Automotive , Car Accessories ,100.5882353,35.82352941,53.82352941,46.76470588,1,54.82352941,18,1
06-01-2015,Low,Standard Delivery,Jaipur,Rajasthan,India,Central Asia,Retail,Furniture , Living Room Furniture ,5372.843137,3147.647059,3152.647059,2220.196078,0,3152.647059,5,1
06-01-2015,Low,Standard Delivery,Jaipur,Rajasthan,India,Central Asia,Corporate,Office Supplies,Envelopes,481.587,412.188,474.577,7.01,22.2918,489.8588,62.389,4
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,156.6666667,94.94117647,97.94117647,58.7254902,-1,96.94117647,3,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,215.6862745,141.0980392,145.0980392,70.58823529,1,146.0980392,4,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Jewellery , Necklaces & Chains ,103.7254902,52.52941176,68.52941176,35.19607843,1,69.52941176,16,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Computers , Network Components ,490.1960784,266.3137255,284.3137255,205.8823529,1,285.3137255,18,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Clothing , Women's Clothing ,164.5098039,,117.5490196,46.96078431,2,119.5490196,3,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Clothing , Women's Clothing ,117.4509804,,78.33333333,39.11764706,2,80.33333333,2,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Clothing , Women's Clothing ,156.4705882,,127.3529412,29.11764706,0,127.3529412,3,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Retail,Footwear , Women's Footwear ,102.745098,64.52941176,68.52941176,34.21568627,0,68.52941176,4,1
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Whole Sale,Furniture,Tables,13301.72736,14449.012,13299.62436,2.103,1138.7745,14436.29586,-1149.38764,5
07-01-2015,Moderate,Named Day,Yuci,Shanxi,China,North Asia,Whole Sale,Furniture,Tables,4396.3916,4831.292,4387.2786,9.113,632.1618,5010.3274,-444.0134,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,333.1372549,192.9803922,195.9803922,137.1568627,1,196.9803922,3,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,225.2941176,124.3529412,127.3529412,97.94117647,1,128.3529412,3,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,225.2941176,124.3529412,127.3529412,97.94117647,0,127.3529412,3,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Home Furnishing ," Cushions, Pillows & Covers ",27.45098039,3.607843137,19.60784314,7.843137255,2,21.60784314,16,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Jewellery , Necklaces & Chains ,167.1568627,118.9411765,132.9411765,34.21568627,1,133.9411765,14,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Jewellery , Necklaces & Chains ,94.80392157,34.01960784,49.01960784,45.78431373,0,49.01960784,15,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Jewellery , Necklaces & Chains ,73.33333333,32.92156863,48.92156863,24.41176471,1,49.92156863,16,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Clothing , Women's Clothing ,314.6078431,,225.3921569,89.21568627,-1,224.3921569,3,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Clothing , Women's Clothing ,135.0980392,,97.94117647,37.15686275,1,98.94117647,1,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Clothing , Women's Clothing ,146.8627451,,97.94117647,48.92156863,0,97.94117647,2,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Clothing , Women's Clothing ,144.0196078,,97.94117647,46.07843137,-1,96.94117647,3,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Footwear , Women's Footwear ,262.1568627,164.0196078,169.0196078,93.1372549,0,169.0196078,5,1
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Technology,Copiers,8184.7358,6393.5406,8177.7258,7.01,1296.2892,9467.005,1784.1852,5
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Office Supplies,Envelopes,430.9047,357.1595,430.9047,0,79.2831,510.1878,73.7452,2
08-01-2015,High,Next Day,Shanghai,Shanghai,China,North Asia,Retail,Technology,Machines,3630.8996,2478.3154,3623.8896,7.01,929.2456,4546.1252,1145.5742,2
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,151.9607843,98.96078431,101.9607843,50,1,102.9607843,3,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,553.7254902,394.9019608,399.9019608,153.8235294,-1,398.9019608,5,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,178.4313725,116.6078431,119.6078431,58.82352941,1,120.6078431,3,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,178.4313725,114.6078431,119.6078431,58.82352941,0,119.6078431,5,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",117.1568627,80.64705882,97.64705882,19.50980392,-1,96.64705882,17,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",141.9607843,87.84313725,102.8431373,39.11764706,-1,101.8431373,15,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Furniture , Living Room Furniture ,5372.843137,3148.647059,3152.647059,2220.196078,1,3153.647059,4,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Jewellery , Necklaces & Chains ,112.254902,55.03921569,73.03921569,39.21568627,-1,72.03921569,18,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Jewellery , Necklaces & Chains ,97.84313725,44.7254902,58.7254902,39.11764706,0,58.7254902,14,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Jewellery , Necklaces & Chains ,91.96078431,53.52941176,68.52941176,23.43137255,2,70.52941176,15,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Computers , Network Components ,372.5490196,229.0980392,245.0980392,127.4509804,-1,244.0980392,16,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Pens & Stationery , School Supplies ,137.0588235,64.52941176,68.52941176,68.52941176,2,70.52941176,4,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Clothing , Women's Clothing ,135.0980392,,97.94117647,37.15686275,-1,96.94117647,3,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Clothing , Women's Clothing ,150.7843137,,107.745098,43.03921569,-1,106.745098,3,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Clothing , Women's Clothing ,117.4509804,,78.33333333,39.11764706,-1,77.33333333,2,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Footwear , Women's Footwear ,132.1568627,85.1372549,88.1372549,44.01960784,0,88.1372549,3,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Furniture,Chairs,3327.0161,2310.0053,3320.0061,7.01,301.1496,3614.1457,1010.0008,1
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Technology,Phones,7747.1716,6521.403,7747.1716,0,645.4107,8392.5823,1225.7686,5
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Office Supplies,Storage,10087.7405,7476.5856,10087.7405,0,1362.4636,11450.2041,2611.1549,6
09-01-2015,Low,Standard Delivery,Hefei,Anhui,China,North Asia,Retail,Office Supplies,Storage,5443.4052,5114.6362,5436.3952,7.01,724.0629,6153.4481,321.759,5
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Baby Care , Baby & Kids Gifts ,128.3333333,67.2745098,71.2745098,57.05882353,2,73.2745098,4,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,163.7254902,105.8039216,109.8039216,53.92156863,-1,108.8039216,4,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,299.5098039,176.2941176,180.2941176,119.2156863,1,181.2941176,4,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Baby Care , Baby & Kids Gifts ,198.0392157,130.3333333,133.3333333,64.70588235,0,133.3333333,3,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Baby Care , Baby & Kids Gifts ,190.1960784,122.4509804,127.4509804,62.74509804,1,128.4509804,5,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",185.2941176,133.1764706,146.1764706,39.11764706,0,146.1764706,13,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",127.4509804,48.7254902,63.7254902,63.7254902,2,65.7254902,15,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Pet Supplies , Grooming ,20.58823529,7.784313725,10.78431373,9.803921569,2,12.78431373,3,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Clothing , Kids' Clothing ,337.1568627,,235.2941176,101.8627451,2,237.2941176,3,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Furniture , Living Room Furniture ,5372.843137,3147.647059,3152.647059,2220.196078,2,3154.647059,5,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Jewellery , Necklaces & Chains ,99.31372549,52.52941176,68.52941176,30.78431373,0,68.52941176,16,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Jewellery , Necklaces & Chains ,117.5490196,58.52941176,73.52941176,44.01960784,2,75.52941176,15,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Jewellery , Necklaces & Chains ,129.0196078,82.70588235,99.70588235,29.31372549,2,101.7058824,17,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Jewellery , Necklaces & Chains ,127.254902,82.94117647,97.94117647,29.31372549,0,97.94117647,15,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Computers , Network Components ,6470.588235,3416.372549,3431.372549,3039.215686,-1,3430.372549,15,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Clothing , Women's Clothing ,342.9411765,,245,97.94117647,0,245,3,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Clothing , Women's Clothing ,110.5882353,,73.43137255,37.15686275,1,74.43137255,3,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Clothing , Women's Clothing ,190.9803922,,146.9607843,44.01960784,0,146.9607843,2,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Clothing , Women's Clothing ,146.8627451,,97.94117647,48.92156863,1,98.94117647,2,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Footwear , Women's Footwear ,294.1176471,143.0588235,147.0588235,147.0588235,1,148.0588235,4,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Technology,Accessories,5216.3513,3587.8582,5209.3413,7.01,1108.9119,6311.2432,1621.4831,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Office Supplies,Binders,1818.7445,1615.104,1818.7445,0,118.1886,1936.9331,203.6405,1
11-01-2015,Low,Standard Delivery,Ludhiana,Punjab,India,Central Asia,Retail,Furniture,Chairs,2267.4546,1300.355,2267.4546,0,157.3745,2424.8291,967.0996,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Office Supplies,Envelopes,393.261,263.2956,386.251,7.01,54.0471,433.2881,122.9554,1
11-01-2015,Extreme,Same Day,Singapore,Singapore,Singapore,Southeast Asia,Retail,Office Supplies,Supplies,931.9094,858.0941,931.9094,0,88.1858,1020.0952,73.8153,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,190.1960784,123.4509804,127.4509804,62.74509804,0,127.4509804,4,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,299.5098039,175.2941176,180.2941176,119.2156863,0,180.2941176,5,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,156.6666667,93.94117647,97.94117647,58.7254902,2,99.94117647,4,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,137.4509804,71.37254902,76.37254902,61.07843137,1,77.37254902,5,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,190.1960784,123.4509804,127.4509804,62.74509804,0,127.4509804,4,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",117.1568627,81.64705882,97.64705882,19.50980392,2,99.64705882,16,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",244.6078431,182.0784314,196.0784314,48.52941176,-1,195.0784314,14,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Pens & Stationery , Diaries & Notebooks ,75.88235294,44.92156863,48.92156863,26.96078431,2,50.92156863,4,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Pens & Stationery , Diaries & Notebooks ,75.88235294,44.92156863,48.92156863,26.96078431,1,49.92156863,4,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Pens & Stationery , Diaries & Notebooks ,180.0980392,94.03921569,98.03921569,82.05882353,-1,97.03921569,4,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Jewellery , Necklaces & Chains ,111.7647059,56.52941176,73.52941176,38.23529412,1,74.52941176,17,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Jewellery , Necklaces & Chains ,97.84313725,33.92156863,48.92156863,48.92156863,-1,47.92156863,15,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Jewellery , Necklaces & Chains ,82.84313725,30.11764706,44.11764706,38.7254902,0,44.11764706,14,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Jewellery , Necklaces & Chains ,117.5490196,83.03921569,98.03921569,19.50980392,-1,97.03921569,15,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Computers , Network Components ,1527.45098,964.3921569,980.3921569,547.0588235,0,980.3921569,16,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Pet Supplies , Toys ,37.25490196,15.62745098,18.62745098,18.62745098,2,20.62745098,3,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Clothing , Women's Clothing ,166.4705882,,97.94117647,68.52941176,-1,96.94117647,3,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Clothing , Women's Clothing ,116.8627451,,77.94117647,38.92156863,2,79.94117647,2,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Clothing , Women's Clothing ,137.5490196,,107.745098,29.80392157,-1,106.745098,3,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Retail,Clothing , Women's Clothing ,102.8431373,,68.62745098,34.21568627,0,68.62745098,1,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Corporate,Office Supplies,Art,677.5165,365.922,677.5165,0,36.0314,713.5479,311.5945,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Corporate,Furniture,Bookcases,7432.7731,6681.231,7432.7731,0,1075.334,8508.1071,751.5421,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Corporate,Technology,Machines,3337.6012,2564.258,3337.6012,0,186.3959,3523.9971,773.3432,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Corporate,Office Supplies,Storage,2676.9788,1956.491,2676.9788,0,612.8142,3289.793,720.4878,1
02-02-2015,High,Next Day,Yunyang,Henan,China,North Asia,Corporate,Furniture,Tables,4855.32228,6295.4006,4853.21928,2.103,490.2794,5341.39568,-1442.18132,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,225.2941176,124.3529412,127.3529412,97.94117647,1,128.3529412,3,1
04-02-2015,Low,Standard Delivery,Yicheng,Hubei,China,North Asia,Retail,Baby Care , Baby & Kids Gifts ,348.5294118,197.7647059,201.7647059,146.7647059,0,201.7647059,4,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,163.7254902,104.8039216,109.8039216,53.92156863,1,110.8039216,5,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,156.6666667,93.94117647,97.94117647,58.7254902,1,98.94117647,4,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Baby Care , Baby & Kids Gifts ,218.627451,142.0588235,147.0588235,71.56862745,2,149.0588235,5,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,"Bags, Wallets & Belts ", Bags ,137.0588235,93.94117647,97.94117647,39.11764706,2,99.94117647,4,1
04-02-2015,Low,Standard Delivery,Yicheng,Hubei,China,North Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",98.82352941,63.31372549,79.31372549,19.50980392,-1,78.31372549,16,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Jewellery ," Bangles, Bracelets & Armlets ",229.6078431,166.6470588,182.6470588,46.96078431,-1,181.6470588,16,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Clothing , Kids' Clothing ,163.0392157,,88.1372549,74.90196078,-1,87.1372549,2,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,56.66666667,22.11764706,39.11764706,17.54901961,2,41.11764706,17,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,97.84313725,45.7254902,58.7254902,39.11764706,0,58.7254902,13,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,83.62745098,44.66666667,61.66666667,21.96078431,2,63.66666667,17,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Jewellery , Necklaces & Chains ,63.52941176,23.11764706,39.11764706,24.41176471,2,41.11764706,16,1
04-02-2015,Low,Standard Delivery,Yicheng,Hubei,China,North Asia,Retail,Computers , Network Components ,534.2156863,325.2352941,338.2352941,195.9803922,0,338.2352941,13,1
04-02-2015,Low,Standard Delivery,Yicheng,Hubei,China,North Asia,Retail,Pens & Stationery , Office Supplies ,63.52941176,30.31372549,34.31372549,29.21568627,0,34.31372549,4,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,186.1764706,,117.6470588,68.52941176,2,119.6470588,2,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,176.2745098,,88.1372549,88.1372549,0,88.1372549,1,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,117.4509804,,78.33333333,39.11764706,2,80.33333333,2,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,139.5098039,,93.03921569,46.47058824,1,94.03921569,3,1
04-02-2015,Low,Standard Delivery,Rajshahi,Rajshahi,Bangladesh,Central Asia,Retail,Clothing , Women's Clothing ,186.0784314,,137.1568627,48.92156863,1,138.1568627,1,1
